rain,aqi,traffic,zone_risk,disruptions,risk_score
51,242,0.73,0.62,7,1.86
92,118,0.52,0.35,4,1.48
14,121,0.61,0.44,6,1.23
71,286,0.43,0.59,3,1.66
60,231,0.88,0.77,8,2.14
20,119,0.74,0.41,5,1.33
82,167,0.68,0.66,7,1.95
86,227,0.55,0.58,6,1.86
74,273,0.44,0.73,9,2.09
74,186,0.91,0.81,8,2.26
87,245,0.37,0.52,4,1.68
99,168,0.62,0.49,3,1.63
23,201,0.48,0.37,2,1.02
2,243,0.58,0.65,6,1.42
21,181,0.61,0.59,7,1.53
52,156,0.72,0.46,5,1.52
1,111,0.67,0.55,4,1.18
87,277,0.34,0.44,3,1.61
29,270,0.88,0.76,8,2.08
37,118,0.59,0.39,5,1.26
65,190,0.71,0.62,6,1.81
12,130,0.45,0.33,3,0.98
44,210,0.66,0.58,7,1.78
78,260,0.82,0.74,9,2.21
33,140,0.53,0.47,4,1.22
90,280,0.91,0.83,9,2.37
18,100,0.49,0.36,3,1.00
56,220,0.75,0.68,6,1.90
72,240,0.69,0.61,7,2.00
27,150,0.57,0.42,5,1.34
45,215,0.64,0.55,6,1.72
88,290,0.42,0.68,8,2.15
12,105,0.71,0.39,4,1.15
66,175,0.59,0.61,5,1.68
31,235,0.81,0.72,7,1.98
54,195,0.63,0.48,4,1.55
95,140,0.51,0.55,5,1.71
10,265,0.47,0.34,2,0.95
77,125,0.69,0.78,8,2.05
42,185,0.74,0.59,6,1.74
63,222,0.85,0.67,7,2.02
19,112,0.41,0.44,3,1.05
81,254,0.66,0.71,8,2.18
5,145,0.52,0.38,4,1.12
36,298,0.79,0.84,9,2.32
58,204,0.61,0.53,5,1.64
94,182,0.48,0.63,6,1.88
25,138,0.72,0.49,4,1.36
69,267,0.83,0.75,9,2.24
48,221,0.56,0.51,5,1.59
15,199,0.45,0.42,3,1.18
73,158,0.68,0.66,7,1.91
98,287,0.54,0.81,8,2.35
41,114,0.63,0.47,4,1.32
62,238,0.71,0.69,7,1.97
8,212,0.39,0.31,2,0.88
85,172,0.82,0.74,8,2.19
33,148,0.57,0.52,5,1.41
59,256,0.64,0.62,6,1.84
